Team,Game Reached,Champion?,Year,Era
Miami,Final,Yes,2001,BCS
Nebraska,Final,No,2001,BCS
Ohio State,Final,Yes,2002,BCS
Miami,Final,No,2002,BCS
LSU,Final,Yes,2003,BCS
Oklahoma,Final,No,2003,BCS
USC,Final,Yes,2004,BCS
Oklahoma,Final,No,2004,BCS
Texas,Final,Yes,2005,BCS
USC,Final,No,2005,BCS
Florida,Final,Yes,2006,BCS
Ohio State,Final,No,2006,BCS
LSU,Final,Yes,2007,BCS
Ohio State,Final,No,2007,BCS
Florida,Final,Yes,2008,BCS
Oklahoma,Final,No,2008,BCS
Alabama,Final,Yes,2009,BCS
Texas,Final,No,2009,BCS
Auburn,Final,Yes,2010,BCS
Oregon,Final,No,2010,BCS
Alabama,Final,Yes,2011,BCS
LSU,Final,No,2011,BCS
Alabama,Final,Yes,2012,BCS
Notre Dame,Final,No,2012,BCS
Florida State,Final,Yes,2013,BCS
Auburn,Final,No,2013,BCS
Alabama,Semifinal,No,2014,CFP
Oregon,Final,No,2014,CFP
Florida State,Semifinal,No,2014,CFP
Ohio State,Final,Yes,2014,CFP
Clemson,Final,No,2015,CFP
Alabama,Final,Yes,2015,CFP
Michigan State,Semifinal,No,2015,CFP
Oklahoma,Semifinal,No,2015,CFP
Alabama,Final,No,2016,CFP
Clemson,Final,Yes,2016,CFP
Ohio State,Semifinal,No,2016,CFP
Washington,Semifinal,No,2016,CFP
Clemson,Semifinal,No,2017,CFP
Oklahoma,Semifinal,No,2017,CFP
Georgia,Final,No,2017,CFP
Alabama,Final,Yes,2017,CFP
Alabama,Final,No,2018,CFP
Clemson,Final,Yes,2018,CFP
Notre Dame,Semifinal,No,2018,CFP
Oklahoma,Semifinal,No,2018,CFP
LSU,Final,Yes,2019,CFP
Ohio State,Semifinal,No,2019,CFP
Clemson,Final,No,2019,CFP
Oklahoma,Semifinal,No,2019,CFP
Alabama,Final,Yes,2020,CFP
Clemson,Semifinal,No,2020,CFP
Ohio State,Final,No,2020,CFP
Notre Dame,Semifinal,No,2020,CFP
