year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2020,Air Force,Mountain West,Mountain,6,3,3,0,4,2,2,0,3,2,1,0,3,1,2,0
2020,Akron,Mid-American,East,6,1,5,0,6,1,5,0,3,1,2,0,3,0,3,0
2020,Alabama,SEC,West,13,13,0,0,11,11,0,0,5,5,0,0,5,5,0,0
2020,Appalachian State,Sun Belt,,12,9,3,0,8,6,2,0,6,5,1,0,5,3,2,0
2020,Arizona,Pac-12,South,5,0,5,0,5,0,5,0,3,0,3,0,2,0,2,0
2020,Arizona State,Pac-12,South,4,2,2,0,4,2,2,0,1,0,1,0,3,2,1,0
2020,Arkansas,SEC,West,10,3,7,0,10,3,7,0,5,2,3,0,5,1,4,0
2020,Arkansas State,Sun Belt,,11,4,7,0,8,2,6,0,5,3,2,0,6,1,5,0
2020,Army,FBS Independents,,12,9,3,0,0,0,0,0,7,7,0,0,3,1,2,0
2020,Auburn,SEC,West,11,6,5,0,10,6,4,0,5,4,1,0,5,2,3,0
2020,Ball State,Mid-American,West,8,7,1,0,7,6,1,0,3,3,0,0,3,2,1,0
2020,Baylor,Big 12,,9,2,7,0,9,2,7,0,4,2,2,0,5,0,5,0
2020,Boise State,Mountain West,Mountain,7,5,2,0,6,5,1,0,3,2,1,0,3,3,0,0
2020,Boston College,ACC,Atlantic,11,6,5,0,10,5,5,0,6,4,2,0,5,2,3,0
2020,Bowling Green,Mid-American,East,5,0,5,0,5,0,5,0,2,0,2,0,3,0,3,0
2020,Buffalo,Mid-American,East,7,6,1,0,6,5,1,0,3,3,0,0,2,2,0,0
2020,BYU,FBS Independents,,12,11,1,0,0,0,0,0,7,7,0,0,4,3,1,0
2020,California,Pac-12,North,4,1,3,0,4,1,3,0,2,1,1,0,2,0,2,0
2020,Central Michigan,Mid-American,West,6,3,3,0,6,3,3,0,3,1,2,0,3,2,1,0
2020,Charlotte,Conference USA,East,6,2,4,0,4,2,2,0,2,1,1,0,4,1,3,0
2020,Cincinnati,American Athletic,East,10,9,1,0,7,7,0,0,7,7,0,0,2,2,0,0
